index,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,109.23,0.0,109.25,20190412,109.42,09:30 AM,109.095,109.24,0.0,109.245,109.5,108.88,64746008.5985,1428,109.44,592695,464774.745,38,109.265,4255
2019-04-12 09:31:00,109.649,0.003835942506637343,109.76,20190412,109.79,09:31 AM,109.32,109.563,0.0029567923837422877,109.79,109.83,109.121,25554935.9027,939,109.26,233245,451755.33,37,109.36,4120
2019-04-12 09:32:00,109.802,0.005236656596173239,109.795,20190412,109.88,09:32 AM,109.74,109.8,0.00512632735261811,109.807,109.88,109.71,26064567.1877,759,109.785,237381,308542.45,24,109.82,2810
2019-04-12 09:33:00,109.777,0.005007781744941839,109.76,20190412,109.82,09:33 AM,109.75,109.779,0.004934090076894924,109.77,109.868,109.72,12553555.1668,635,109.826,114353,564910.57,32,109.79,5146
2019-04-12 09:34:00,109.777,0.005007781744941839,109.71,20190412,109.895,09:34 AM,109.645,109.8,0.00512632735261811,109.71,109.94,109.57,24618205.0567,999,109.77,224210,411334.13,39,109.775,3747
2019-04-12 09:35:00,109.929,0.006399340840428436,110.02,20190412,110.02,09:35 AM,109.71,109.968,0.0066642255584035935,110.02,110.03,109.69,66550312.4543,1664,109.71,605180,1181297.21,75,109.71,10746
2019-04-12 09:36:00,110.199,0.008871189233726944,110.41,20190412,110.41,09:36 AM,110.02,110.168,0.008495056755767224,110.435,110.44,110.0,33044602.17,1386,110.02,299948,334454.95,28,110.03,3035
2019-04-12 09:37:00,110.504,0.011663462418749436,110.45,20190412,110.58,09:37 AM,110.43,110.504,0.011570853167338064,110.451,110.61,110.42,27641385.0373,1192,110.44,250139,648658.27,46,110.44,5870
2019-04-12 09:38:00,110.635,0.012862766639201694,110.62,20190412,110.72,09:38 AM,110.45,110.624,0.012669351885756136,110.66,110.74,110.445,16791479.9289,877,110.45,151788,690584.765,49,110.45,6242
2019-04-12 09:39:00,110.782,0.014208550764441934,110.92,20190412,110.93,09:39 AM,110.62,110.769,0.013996704503844843,110.92,110.95,110.62,16590815.3111,831,110.67,149778,507493.28,57,110.62,4581
2019-04-12 09:40:00,110.788,0.01426348072873746,110.76,20190412,110.91,09:40 AM,110.69,110.785,0.01414317099963385,110.76,110.92,110.69,22453451.6984,1116,110.91,202675,624401.32,45,110.91,5636
2019-04-12 09:41:00,110.769,0.014089535841801715,110.6,20190412,110.87,09:41 AM,110.57,110.743,0.01375869644818748,110.61,110.88,110.51,14469337.4637,819,110.76,130657,336074.36,40,110.79,3034
2019-04-12 09:42:00,110.633,0.0128444566511031,110.74,20190412,110.76,09:42 AM,110.55,110.645,0.012861589161479323,110.74,110.76,110.522,17738959.0634,943,110.603,160323,342962.29,33,110.61,3100
2019-04-12 09:43:00,110.739,0.01381488602032409,110.85,20190412,110.87,09:43 AM,110.67,110.75,0.01382277554009525,110.88,110.88,110.62,17075476.725,897,110.74,154180,512945.36,40,110.73,4632
2019-04-12 09:44:00,110.887,0.015169825139613626,110.9,20190412,110.935,09:44 AM,110.845,110.896,0.015159282314170687,110.915,110.94,110.84,12193766.21,718,110.88,109957,213901.76,21,110.845,1929
2019-04-12 09:45:00,110.934,0.015600109859928532,111.165,20190412,111.165,09:45 AM,110.805,111.023,0.016321860124496542,111.175,111.2,110.8,28050023.8609,1188,110.9,252651,260251.95,26,110.87,2346
2019-04-12 09:46:00,111.042,0.016588849217247986,110.995,20190412,111.16,09:46 AM,110.92,111.052,0.01658733064811435,111.08,111.18,110.906,16119158.1474,889,111.175,145149,380651.985,34,111.16,3428
2019-04-12 09:47:00,111.062,0.016771949098233027,111.04,20190412,111.135,09:47 AM,111.02,111.084,0.016880263639692496,111.06,111.18,111.02,10664244.3275,603,111.08,96002,263217.9,28,111.13,2370
2019-04-12 09:48:00,111.056,0.016717019133937503,111.04,20190412,111.085,09:48 AM,111.0,111.063,0.016688026363969308,111.061,111.09,111.0,16706950.2533,902,111.06,150428,354824.76,23,111.06,3195
2019-04-12 09:49:00,111.141,0.017495193628124153,111.12,20190412,111.185,09:49 AM,111.07,111.135,0.017347125595020232,111.115,111.19,111.06,15397803.2872,642,111.06,138551,179715.35,17,111.07,1617
2019-04-12 09:50:00,111.019,0.01637828435411518,111.05,20190412,111.1,09:50 AM,110.92,111.018,0.016276089344562487,111.03,111.11,110.92,9341849.814,557,111.11,84147,123675.38,12,111.1,1114
2019-04-12 09:51:00,110.957,0.01581067472306133,110.89,20190412,111.05,09:51 AM,110.89,110.985,0.015974002196997482,110.856,111.07,110.856,10953914.4821,553,111.025,98697,126157.98,14,111.05,1137
2019-04-12 09:52:00,110.801,0.01438249565137781,110.78,20190412,110.88,09:52 AM,110.75,110.803,0.014307945807396581,110.78,110.91,110.743,10509517.9513,631,110.85,94849,204981.5,19,110.86,1850
2019-04-12 09:53:00,110.735,0.01377826604412703,110.7,20190412,110.78,09:53 AM,110.7,110.737,0.01370377151226657,110.69,110.8,110.68,15528091.7125,731,110.8,140225,231657.35,26,110.74,2092
2019-04-12 09:54:00,110.534,0.011938112240227065,110.46,20190412,110.63,09:54 AM,110.41,110.559,0.012074331746612987,110.45,110.69,110.41,16437918.3211,722,110.69,148680,672267.62,41,110.63,6082
2019-04-12 09:55:00,110.558,0.012157832097409164,110.6,20190412,110.6,09:55 AM,110.475,110.543,0.011927865250823979,110.59,110.61,110.45,13739713.9374,338,110.45,124293,122277.05,11,110.475,1106
2019-04-12 09:56:00,110.632,0.012835301657053929,110.73,20190412,110.74,09:56 AM,110.6,110.638,0.012797510069571682,110.72,110.74,110.59,9707646.1516,435,110.597,87742,230667.775,19,110.61,2085
2019-04-12 09:57:00,110.744,0.013860660990570315,110.82,20190412,110.89,09:57 AM,110.7,110.784,0.014134016843647118,110.737,110.91,110.694,12371825.3041,514,110.72,111675,201885.74,22,110.71,1823
2019-04-12 09:58:00,110.708,0.013531081204797166,110.81,20190412,110.81,09:58 AM,110.62,110.729,0.013630538264372064,110.81,110.86,110.61,8053758.6249,432,110.733,72734,65760.61,9,110.73,594
2019-04-12 09:59:00,110.772,0.014117000823949481,110.92,20190412,110.92,09:59 AM,110.73,110.826,0.014518491395093359,110.93,110.95,110.72,7873439.6766,507,110.8,71043,167265.51,15,110.8,1510
2019-04-12 10:00:00,110.87,0.015014190240776347,110.87,20190412,110.92,10 AM,110.8,110.872,0.014939582570487046,110.86,110.94,110.8,7929651.3094,457,110.93,71521,240365.35,23,110.92,2168
2019-04-12 10:01:00,110.849,0.01482193536574201,110.76,20190412,110.9,10:01 AM,110.76,110.83,0.014555108019040674,110.706,110.91,110.7,8986133.4582,402,110.86,81080,111957.0,12,110.9,1010
2019-04-12 10:02:00,110.66,0.013091641490432964,110.6,20190412,110.71,10:02 AM,110.6,110.655,0.01295313072134755,110.57,110.715,110.57,4204449.2044,264,110.7,37996,245665.03,26,110.66,2220
2019-04-12 10:03:00,110.513,0.011745857365192723,110.485,20190412,110.56,10:03 AM,110.48,110.52,0.011717319663127073,110.49,110.61,110.466,10515759.9413,610,110.58,95148,265232.5,19,110.56,2400
2019-04-12 10:04:00,110.454,0.01120571271628664,110.37,20190412,110.5,10:04 AM,110.35,110.45,0.011076528744049872,110.295,110.53,110.29,9475970.3007,448,110.49,85794,142265.42,16,110.49,1288
2019-04-12 10:05:00,110.19,0.008788794287283656,110.27,20190412,110.27,10:05 AM,110.13,110.192,0.008714756499450735,110.257,110.3,110.12,14692734.991,623,110.3,133338,384671.9,22,110.26,3491
2019-04-12 10:06:00,110.283,0.009640208733864298,110.25,20190412,110.31,10:06 AM,110.23,110.27,0.009428780666422566,110.25,110.33,110.2,9016650.9115,394,110.256,81769,114473.46,12,110.23,1038
2019-04-12 10:07:00,110.255,0.009383868900485136,110.155,20190412,110.35,10:07 AM,110.155,110.258,0.009318930794580745,110.15,110.36,110.14,7120232.6665,406,110.24,64578,175856.37,16,110.24,1595
2019-04-12 10:08:00,110.286,0.009667673716012059,110.43,20190412,110.435,10:08 AM,110.215,110.29,0.00961186378615902,110.41,110.46,110.14,7794077.1296,398,110.147,70669,205903.63,16,110.22,1867
2019-04-12 10:09:00,110.388,0.01060148310903599,110.41,20190412,110.44,10:09 AM,110.33,110.392,0.010545587696814364,110.4,110.46,110.3,7033933.8357,400,110.43,63718,121427.0,11,110.36,1100
2019-04-12 10:10:00,110.473,0.011379657603222513,110.51,20190412,110.52,10:10 AM,110.39,110.451,0.011085682900036605,110.52,110.53,110.34,6327616.317000002,371,110.41,57289,133672.9,12,110.39,1210
2019-04-12 10:11:00,110.567,0.01224022704385232,110.55,20190412,110.6,10:11 AM,110.52,110.55,0.011991944342731622,110.58,110.6,110.505,10458816.7003,450,110.53,94607,130469.0,11,110.52,1180
2019-04-12 10:12:00,110.664,0.013128261466630023,110.64,20190412,110.7,10:12 AM,110.61,110.646,0.012870743317466184,110.63,110.705,110.57,6960951.4199,431,110.57,62912,135673.71,15,110.61,1226
2019-04-12 10:13:00,110.706,0.0135127712166987,110.69,20190412,110.735,10:13 AM,110.64,110.703,0.013392530208714832,110.713,110.74,110.63,8622866.582,414,110.644,77892,232924.56,12,110.64,2104
2019-04-12 10:14:00,110.694,0.01340291128810765,110.67,20190412,110.7,10:14 AM,110.63,110.68,0.013181984621018052,110.68,110.73,110.62,6200378.4263,409,110.705,56021,294004.12,21,110.7,2656
2019-04-12 10:15:00,110.588,0.01243248191888666,110.57,20190412,110.74,10:15 AM,110.52,110.594,0.012394727206151588,110.58,110.74,110.51,9200277.9471,558,110.69,83190,198505.84,22,110.685,1795
2019-04-12 10:16:00,110.489,0.011526137508010622,110.46,20190412,110.54,10:16 AM,110.43,110.485,0.011396924203588472,110.44,110.59,110.42,6416518.7194,365,110.58,58076,56902.02,6,110.54,515
2019-04-12 10:17:00,110.377,0.010500778174494107,110.33,20190412,110.44,10:17 AM,110.32,110.371,0.010353350421091178,110.332,110.44,110.31,11280237.9073,635,110.44,102203,164021.08,17,110.44,1486
2019-04-12 10:18:00,110.398,0.010693033049528443,110.4,20190412,110.48,10:18 AM,110.32,110.389,0.010518125228853908,110.42,110.49,110.305,8022406.6506,343,110.33,72674,320595.26,16,110.32,2904
2019-04-12 10:19:00,110.56,0.012176142085507628,110.57,20190412,110.6,10:19 AM,110.46,110.539,0.011891248626876664,110.56,110.61,110.43,4623846.7567,231,110.43,41830,187952.0,12,110.46,1700
2019-04-12 10:20:00,110.566,0.012231072049803155,110.47,20190412,110.63,10:20 AM,110.465,110.565,0.012129256682533895,110.47,110.64,110.45,5302574.4176,334,110.58,47959,165185.06,13,110.6,1494
2019-04-12 10:21:00,110.379,0.010519088162592704,110.28,20190412,110.49,10:21 AM,110.28,110.417,0.010774441596484866,110.29,110.5,110.28,5931138.1309,378,110.47,53716,302217.69,21,110.49,2738
2019-04-12 10:22:00,110.312,0.009905703561292629,110.36,20190412,110.36,10:22 AM,110.27,110.308,0.009776638593921751,110.39,110.39,110.23,8904688.2422,407,110.3,80726,209593.0,16,110.28,1900
2019-04-12 10:23:00,110.423,0.010921907900759843,110.46,20190412,110.46,10:23 AM,110.4,110.479,0.011341999267667562,110.58,110.59,110.36,4416635.7342,254,110.39,39977,77296.0,4,110.4,700
2019-04-12 10:24:00,110.622,0.012743751716561346,110.62,20190412,110.63,10:24 AM,110.62,110.616,0.012596118637861631,110.68,110.68,110.565,5285253.9972,262,110.59,47780,66373.0,4,110.63,600
2019-04-12 10:25:00,110.637,0.01288107662730016,110.57,20190412,110.69,10:25 AM,110.57,110.645,0.012861589161479323,110.54,110.7,110.53,5382212.6351,324,110.69,48644,129002.64,11,110.675,1166
2019-04-12 10:26:00,110.489,0.011526137508010622,110.58,20190412,110.59,10:26 AM,110.44,110.5,0.011534236543390749,110.58,110.6,110.44,5041910.2985,308,110.54,45628,144409.08,14,110.53,1307
2019-04-12 10:27:00,110.62,0.012725441728462879,110.56,20190412,110.655,10:27 AM,110.5,110.564,0.012120102526547036,110.557,110.67,110.44,5667610.4246,349,110.59,51261,189713.125,16,110.6,1715
2019-04-12 10:28:00,110.385,0.010574018126888228,110.35,20190412,110.55,10:28 AM,110.31,110.402,0.01063712925668259,110.34,110.57,110.29,8131585.712999999,463,110.56,73654,140519.75,20,110.55,1273
2019-04-12 10:29:00,110.496,0.011590222466355314,110.46,20190412,110.525,10:29 AM,110.46,110.448,0.011058220432076148,110.45,110.53,110.335,8509494.2821,366,110.34,77045,67181.58,8,110.525,608
2019-04-12 10:30:00,110.317,0.009951478531538854,110.3,20190412,110.4,10:30 AM,110.25,110.333,0.010005492493592123,110.305,110.46,110.25,9859107.1616,456,110.46,89358,126865.0,13,110.35,1150
2019-04-12 10:31:00,110.237,0.009219079007598559,110.2,20190412,110.31,10:31 AM,110.16,110.276,0.009483705602343476,110.217,110.34,110.16,8066993.4685,355,110.3,73153,81906.45,10,110.275,743
2019-04-12 10:32:00,110.148,0.00840428453721498,110.11,20190412,110.23,10:32 AM,110.07,110.124,0.008092273892347129,110.07,110.22,110.06,7485598.253,318,110.22,67974,92634.95,9,110.23,841
2019-04-12 10:33:00,110.081,0.007790899935915032,110.055,20190412,110.13,10:33 AM,110.025,110.068,0.007579641157085344,110.03,110.14,110.01,8650795.7519,465,110.07,78595,157195.16,16,110.08,1428
2019-04-12 10:34:00,109.972,0.0067930055845462824,109.89,20190412,110.09,10:34 AM,109.89,109.986,0.0068290003661663256,109.88,110.09,109.88,17145381.5023,973,110.03,155887,328488.045,32,110.0,2987
2019-04-12 10:35:00,109.949,0.006582440721413478,109.93,20190412,109.97,10:35 AM,109.89,109.932,0.0063346759428781355,109.93,109.972,109.88,6496996.6385,379,109.88,59100,136446.85,13,109.93,1241
2019-04-12 10:36:00,109.894,0.006078916048704581,109.885,20190412,109.905,10:36 AM,109.86,109.894,0.005986818015379079,109.9,109.93,109.84,5997236.0996,285,109.924,54573,170116.74,12,109.89,1548
2019-04-12 10:37:00,109.957,0.006655680673807467,110.05,20190412,110.05,10:37 AM,109.9,109.961,0.0066001464664958214,110.05,110.06,109.9,7036950.57,401,109.905,63995,57177.7,7,109.9,520
2019-04-12 10:38:00,110.019,0.007223290304861315,109.96,20190412,110.07,10:38 AM,109.96,110.024,0.00717685829366538,109.93,110.1,109.92,6828305.8676,349,110.07,62062,90545.54,10,110.07,823
2019-04-12 10:39:00,109.981,0.0068754005309895685,110.015,20190412,110.015,10:39 AM,109.92,109.962,0.006609300622482685,110.01,110.02,109.87,6878032.5037,305,109.92,62549,124608.695,11,109.92,1133
2019-04-12 10:40:00,110.038,0.007397235191797058,110.07,20190412,110.08,10:40 AM,109.97,110.033,0.007259245697546742,110.07,110.09,109.97,9407460.9395,498,110.01,85497,147340.35,16,110.02,1339
2019-04-12 10:41:00,109.936,0.006463425798773258,109.79,20190412,110.01,10:41 AM,109.79,109.866,0.0057305016477481215,109.78,110.07,109.74,8757937.6426,501,110.07,79715,116642.28,17,110.01,1061
2019-04-12 10:42:00,109.744,0.004705666941316449,109.75,20190412,109.76,10:42 AM,109.72,109.77,0.004851702673013559,109.765,109.81,109.72,6819896.5995,287,109.78,62129,68041.2,7,109.76,620
2019-04-12 10:43:00,109.749,0.004751441911562677,109.77,20190412,109.81,10:43 AM,109.7,109.746,0.004632002929329918,109.775,109.82,109.65,6955398.8302,375,109.768,63377,112931.54,15,109.81,1029
2019-04-12 10:44:00,109.737,0.004641581982971626,109.69,20190412,109.77,10:44 AM,109.69,109.735,0.004531307213474959,109.73,109.78,109.7,6427618.7402,381,109.77,58574,101616.02,14,109.76,926
2019-04-12 10:45:00,109.787,0.005099331685434424,109.79,20190412,109.81,10:45 AM,109.735,109.776,0.004906627608934469,109.792,109.822,109.729,6914368.4333,299,109.734,62986,165119.94,12,109.75,1504
2019-04-12 10:46:00,109.869,0.005850041197473183,109.935,20190412,109.94,10:46 AM,109.81,109.897,0.006014280483339535,109.95,109.96,109.8,7373565.859,400,109.8,67095,291372.9,20,109.81,2652
2019-04-12 10:47:00,110.079,0.007772589947816437,110.15,20190412,110.15,10:47 AM,109.98,110.041,0.007332478945441249,110.12,110.15,109.94,8309099.1542,430,109.95,75509,396503.145,48,110.02,3602
2019-04-12 10:48:00,110.049,0.0074979401263389435,110.01,20190412,110.11,10:48 AM,109.99,110.025,0.00718601244965224,110.01,110.13,109.96,6361522.3826,392,110.121,57819,119292.95,15,110.11,1084
2019-04-12 10:49:00,110.132,0.008257804632426998,110.135,20190412,110.135,10:49 AM,110.09,110.117,0.008028194800439488,110.155,110.16,110.01,9410116.5388,377,110.02,85456,420813.98,18,110.09,3821
2019-04-12 10:50:00,110.152,0.008440904513412041,110.14,20190412,110.21,10:50 AM,110.12,110.17,0.008513365067740817,110.15,110.23,110.12,8639106.5616,439,110.152,78416,132072.12,15,110.155,1199
2019-04-12 10:51:00,110.21,0.008971894168268697,110.26,20190412,110.26,10:51 AM,110.18,110.204,0.008824606371292554,110.29,110.29,110.13,5839736.8242,260,110.145,52990,82657.5,8,110.2,750
2019-04-12 10:52:00,110.263,0.009457108852879256,110.29,20190412,110.29,10:52 AM,110.24,110.275,0.009474551446356744,110.285,110.3,110.228,7365472.385,383,110.29,66792,101552.14,12,110.275,921
2019-04-12 10:53:00,110.379,0.010519088162592704,110.42,20190412,110.42,10:53 AM,110.27,110.355,0.010206883925302172,110.44,110.45,110.27,5127077.3308,286,110.295,46460,115897.5,10,110.3,1050
2019-04-12 10:54:00,110.402,0.010729653025725506,110.36,20190412,110.45,10:54 AM,110.36,110.407,0.01068290003661664,110.36,110.46,110.36,9006215.3072,481,110.43,81573,627633.545,45,110.42,5685
2019-04-12 10:55:00,110.363,0.010372608257804592,110.31,20190412,110.395,10:55 AM,110.31,110.36,0.01025265470523622,110.3,110.41,110.3,10538276.9944,472,110.36,95490,1042162.16,34,110.365,9443
2019-04-12 10:56:00,110.295,0.009750068662455348,110.31,20190412,110.31,10:56 AM,110.27,110.292,0.009630172098132614,110.31,110.31,110.26,4612081.6429,250,110.295,41817,168751.63,16,110.295,1530
2019-04-12 10:57:00,110.316,0.009942323537489686,110.24,20190412,110.38,10:57 AM,110.24,110.312,0.009813255217868938,110.243,110.382,110.24,4469406.8785,265,110.325,40516,222617.265,18,110.32,2018
2019-04-12 10:58:00,110.3,0.009795843632701577,110.35,20190412,110.37,10:58 AM,110.24,110.336,0.010032954961552579,110.32,110.39,110.24,5264369.5613,290,110.24,47712,44120.0,3,110.24,400
2019-04-12 10:59:00,110.326,0.010033873477982142,110.37,20190412,110.37,10:59 AM,110.305,110.335,0.010023800805565721,110.38,110.39,110.295,3620968.2055,222,110.318,32818,36738.73,5,110.31,333
2019-04-12 11:00:00,110.351,0.01026274832921354,110.33,20190412,110.385,11 AM,110.29,110.343,0.01009703405346035,110.34,110.39,110.278,5343120.7607,393,110.38,48423,139042.09,14,110.38,1260
2019-04-12 11:01:00,110.348,0.010235283347065778,110.3,20190412,110.36,11:01 AM,110.3,110.329,0.009968875869644806,110.29,110.36,110.29,4086906.3999,235,110.36,37043,24497.28,5,110.34,222
2019-04-12 11:02:00,110.305,0.009841618602947936,110.31,20190412,110.31,11:02 AM,110.25,110.292,0.009630172098132614,110.36,110.37,110.21,4621453.4825,265,110.29,41902,12133.6,3,110.275,110
2019-04-12 11:03:00,110.391,0.01062894809118375,110.455,20190412,110.455,11:03 AM,110.38,110.407,0.01068290003661664,110.45,110.47,110.34,5601050.187000001,299,110.37,50731,42942.245,5,110.38,389
2019-04-12 11:04:00,110.475,0.011397967591320977,110.475,20190412,110.475,11:04 AM,110.475,110.483,0.011378615891614877,110.495,110.514,110.435,3406305.3236,166,110.45,30831,11047.5,1,110.475,100
